iter	Passed	Remaining
806	18546	4435
807	18565	4411
808	18589	4388
809	18606	4364
810	18623	4340
811	18643	4316
812	18662	4292
813	18680	4268
814	18697	4244
815	18714	4219
816	18735	4196
817	18753	4172
818	18769	4148
819	18787	4124
820	18805	4100
821	18822	4075
822	18840	4051
823	18858	4028
824	18874	4003
825	18903	3982
826	18944	3962
827	18976	3942
828	19006	3920
829	19039	3899
830	19063	3876
831	19086	3854
832	19107	3830
833	19126	3807
834	19149	3783
835	19167	3760
836	19186	3736
837	19203	3712
838	19220	3688
839	19239	3664
840	19257	3640
841	19276	3617
842	19295	3593
843	19312	3569
844	19328	3545
845	19345	3521
846	19360	3497
847	19379	3473
848	19396	3449
849	19412	3425
850	19431	3402
851	19453	3379
852	19471	3355
853	19488	3331
854	19504	3307
855	19533	3286
856	19553	3262
857	19575	3239
858	19594	3216
859	19615	3193
860	19636	3170
861	19658	3147
862	19676	3123
863	19693	3099
864	19711	3076
865	19730	3052
866	19747	3029
867	19762	3005
868	19782	2982
869	19797	2958
870	19813	2934
871	19831	2911
872	19848	2887
873	19866	2864
874	19880	2840
875	19895	2816
876	19913	2792
877	19937	2770
878	19954	2746
879	19973	2723
880	19992	2700
881	20009	2676
882	20028	2653
883	20047	2630
884	20064	2607
885	20084	2584
886	20104	2561
887	20120	2537
888	20141	2514
889	20159	2491
890	20177	2468
891	20193	2444
892	20210	2421
893	20228	2398
894	20249	2375
895	20266	2352
896	20282	2328
897	20300	2305
898	20319	2282
899	20335	2259
900	20352	2236
901	20370	2213
902	20388	2190
903	20405	2166
904	20422	2143
905	20439	2120
906	20457	2097
907	20475	2074
908	20491	2051
909	20511	2028
910	20530	2005
911	20548	1982
912	20565	1959
913	20581	1936
914	20596	1913
915	20613	1890
916	20632	1867
917	20648	1844
918	20666	1821
919	20681	1798
920	20697	1775
921	20714	1752
922	20729	1729
923	20743	1706
924	20761	1683
925	20776	1660
926	20789	1637
927	20802	1614
928	20817	1591
929	20835	1568
930	20853	1545
931	20870	1522
932	20889	1500
933	20907	1477
934	20924	1454
935	20939	1431
936	20955	1408
937	20972	1386
938	20990	1363
939	21005	1340
940	21022	1318
941	21040	1295
942	21056	1272
943	21071	1249
944	21088	1227
945	21104	1204
946	21120	1182
947	21137	1159
948	21157	1137
949	21182	1114
950	21203	1092
951	21224	1070
952	21244	1047
953	21263	1025
954	21283	1002
955	21304	980
